Gene,log2FC,pvalue
XPNPEP1,0.428346035,1.62E-14
CCNB3,-0.033697947,0.830026882
ULK4,0.208900872,0.17335517
TRAPPC5,0.515222874,6.14E-05
ERGIC2,0.455033669,1.37E-09
PUS7L,0.024783776,0.679594356
TRIM32,0.311487899,0.000699311
HIST2H4B,0.496058006,0.001326695
FAM8A1,0.419090592,6.98E-08
MMACHC,0.31839654,2.14E-05
TMEM120A,0.901711793,1.05E-10
NME2,0.436633192,1.97E-13
CHMP2A,0.588537784,6.42E-14
ACBD4,0.29201307,0.056441995
KCNH2,0.396354313,0.006072522
CD5,0.125989556,0.051494656
CUL7,0.237952576,0.080971383
HBS1L,0.340545928,6.28E-09
YPEL5,0.76610686,9.67E-16
RAB9B,0.441590082,0.00037405
SMAP1,0.345791861,5.71E-07
UCP2,0.327645921,3.07E-05
RAB5A,0.376067086,3.43E-10
ICAM2,0.435130535,7.05E-06
GNPTG,0.672457682,1.08E-08
CLTC,0.012034126,0.807991007
CSGALNACT2,0.371922352,5.80E-06
AP2B1,0.221474982,3.77E-09
CLPP,0.551790778,1.19E-09
TMC8,0.462497144,1.70E-05
MPC2,0.659342436,4.35E-27
MRPS18B,0.384307076,1.05E-10
STARD4,0.818746765,4.76E-56
PYCR3,0.607175512,2.75E-05
HEXA,0.621316256,2.40E-23
GMDS,0.431379648,4.45E-07
SELPLG,0.2885785,0.01121742
LAPTM5,0.541657796,7.96E-16
LDHD,-0.002189332,0.988366861
SEC22A,0.587488065,5.46E-07
PSAP,0.493491361,3.88E-39
PEX16,0.615789871,3.68E-06
SERPINF1,0.634516109,2.04E-11
EMC7,0.640601063,5.39E-14
P2RY8,0.197495232,0.006235974
PACSIN1,0.371032118,0.016417361
GRK6,0.430450357,2.38E-08
ALG11,0.168163283,0.06113436
UBALD1,0.4404391,0.000543749
TFG,0.293297588,1.86E-06
C20orf24,0.692915096,4.44E-20
INO80B-WBP1,0.61493913,0.000447877
NRBF2,0.612201765,3.41E-12
TMEM219,0.640663924,9.54E-10
PSMD10,0.458159114,5.43E-09
IL32,-0.069089536,0.662671726
SHANK3,0.059791851,0.72289771
ACTN1,0.142475313,0.027583659
KDM4C,0.157422375,0.053912982
ELOVL6,0.335622646,0.008972041
SDE2,0.291122469,1.04E-08
PRADC1,0.717345781,4.18E-10
SUMF2,0.533477564,5.79E-19
MATN4,0.198457894,0.250150221
DDT,0.591196792,8.43E-09
ANKHD1,0.024653517,0.782735833
SAT2,0.710517642,2.22E-07
EIF2A,0.319762782,1.09E-13
QPRT,0.39063182,1.58E-05
MAPT,0.308962316,0.009687695
RAP2A,0.502741905,6.84E-14
LRP10,0.615256296,6.75E-10
RGS1,0.114209616,0.435493292
IL6R,0.075085078,0.590984968
NRSN2,0.39178131,0.012632862
EID2B,0.472992005,0.004977253
CCS,0.74766831,2.06E-10
SNU13,0.42885025,6.55E-14
EXOSC1,0.510358587,1.53E-09
UBE2O,0.213114052,0.000309506
CBY1,0.763783793,7.21E-08
OXA1L,0.470361396,2.09E-19
MEF2D,0.296048429,0.000298485
CITED2,0.461576985,0.00153039
ASIC1,0.269370421,0.006711379
TPM4,0.304139893,5.62E-07
TMEM42,0.617163825,6.95E-06
PSMB9,0.55765779,5.86E-07
TMEM160,0.698959195,1.67E-05
CTAGE5,0.470797918,2.87E-10
PPIP5K2,0.147211883,0.047637586
SMN2,0.140285003,0.058719634
GRAP2,-0.338954631,0.000104241
NBAS,0.270122289,0.000261429
TPP1,0.462596574,5.30E-11
KIAA0040,0.142321898,0.350139901
C17orf97,0.241503841,0.15670903
B4GALT4,0.412745542,0.000232716
AC114490.2,0.111727931,0.511712969
ARHGAP19-SLIT1,-0.278711162,0.085640898
GAREM1,0.142099776,0.38778342
NUMBL,0.487234607,0.00041251
TMEM63A,0.265790572,0.052729737
ATG2A,0.326864596,0.00229813
MPI,0.539523719,1.72E-12
NUDT18,0.617877715,1.16E-05
IL2RG,0.347722735,2.40E-12
TM9SF2,0.457294862,2.59E-21
NFKBIB,0.477997333,5.22E-06
OGFOD2,0.627184817,6.77E-06
C11orf54,0.417076145,3.51E-07
DPM3,0.851156688,1.66E-09
ADCY7,0.502161677,8.66E-07
HMBOX1,0.002654876,0.979874031
PIEZO1,0.250563981,0.017307046
RIPOR2,-0.039109944,0.721734068
TMEM50B,1.35586778,1.43E-50
N4BP2,0.12767839,0.030934578
ZNF222,0.423145887,0.00314517
KCTD9,0.117456387,0.027890356
RORC,0.502659355,2.26E-14
HAPLN3,0.17443779,0.329762988
TIMM10B,0.412368999,3.82E-08
GGCX,0.373832919,0.000977695
PMEPA1,0.127985417,0.070359477
HSD17B11,0.591022283,1.04E-11
CASC4,0.439945249,5.22E-17
SLC35B3,0.336625035,0.011795901
MAP3K9,0.159853096,0.08024449
PSMB2,0.297235222,2.15E-13
ZIC5,0.256233101,0.082833411
TAPBP,0.349642495,6.74E-08
APEH,0.513177179,1.52E-13
AMDHD2,0.523439562,0.000820512
C9orf116,0.494597832,0.006546533
PKD2,0.476646372,0.000119583
PNKP,0.425708689,0.006666209
TAP1,0.602992116,2.00E-13
USP11,0.258336767,3.34E-07
PLCH1,-0.261712328,0.07121415
NAGLU,0.617313915,0.000139203
TTC23,0.15113911,0.383590627
TMEM256,0.739496329,3.54E-10
ERP29,0.627488273,2.11E-27
SH3BGR,0.472965578,0.005191442
AC133555.5,0.587642148,9.90E-15
CD1E,0.276641225,2.98E-11
ATP6V0A4,0.121202932,0.42883645
HLA-A,0.627290751,8.04E-22
FKBP8,0.458976148,1.28E-10
FKBP1C,0.280449031,0.056269713
ANGPTL2,0.276184504,0.094839684
TGM5,0.229893117,0.109547937
PIK3C2B,0.296204341,0.002772661
HLA-B,0.486633787,7.26E-09
PLEC,0.183958739,0.082339872
TMIGD2,0.314747488,0.009451458
HDDC3,0.564156966,9.58E-06
TAGLN,0.394907507,0.023309164
SLC50A1,0.590966463,6.82E-06
RITA1,0.290985744,0.001194066
B2M,0.531638097,1.55E-27
AC003002.1,0.331403771,0.026067818
MOK,0.324721086,0.062201566
OGN,0.209298682,0.086396481
DNAJB2,0.566153223,1.30E-06
RGS6,0.19409572,0.257185642
BORCS6,0.607249294,5.76E-06
TPCN1,0.485998888,1.74E-05
ATP6AP1L,0.234832595,0.079117369
SHMT2,0.365458701,3.09E-11
SAR1A,0.430285124,1.87E-14
AIFM1,0.334761848,7.85E-08
GLB1L,0.419060467,0.017532908
CLINT1,0.18623463,0.000133816
AC091959.3,0.011405078,0.937115821
GCHFR,0.848533481,9.80E-17
SBDS,0.16137572,0.023158891
PIGG,0.224371345,0.069279222
CNNM2,0.409993739,9.94E-05
MAPK6,0.257122309,4.93E-10
CCNG2,0.579424753,7.62E-13
MYO1C,0.140136169,0.167398391
OCIAD2,0.408193042,7.24E-08
PLSCR3,0.341747841,0.0109035
AD000671.1,0.270844072,0.103227215
CLDN11,0.206706914,0.164100516
GPANK1,0.422681814,3.99E-10
PANO1,0.151608614,0.384014244
BORCS8,0.612800894,9.29E-06
PPFIA3,0.167796674,0.215121901
TEX19,0.051489917,0.500376441
FBXL15,0.688309221,8.75E-05
CNPY2,0.473375533,3.77E-09
L3MBTL1,0.145539264,0.384128044
LNPEP,0.189497798,0.000622019
ATP6V1E2,0.60261744,3.12E-05
PTOV1,0.489774541,1.65E-08
UBR3,0.181887841,0.000150064
TMCO1,0.563233018,2.95E-28
MVB12A,0.296231337,0.038313364
CFP,0.334676601,0.054768853
ZNF614,0.327178727,9.26E-06
ZNF652,0.030357349,0.732543353
PSMC2,0.377655703,4.86E-13
IKBKG,0.38769751,0.000194308
SRSF8,0.251569758,0.000189737
THTPA,0.386578606,0.004460771
ORMDL3,0.346214232,2.56E-08
MNT,0.193113159,0.034100842
XKR9,0.073615174,0.539052941
GHITM,0.4125138,5.26E-17
C1GALT1C1,0.304268659,0.012539938
ATP6AP1,0.500629174,6.72E-11
NDEL1,0.375603763,3.85E-07
HYAL3,0.596399289,0.000504386
KLK1,0.114514353,0.194146603
HDHD3,0.392753736,0.019496465
SIT1,0.633215174,4.01E-12
DGKG,0.184369285,0.098892753
CEBPB,0.534948802,8.77E-05
ZNF616,0.133411152,0.112872456
INSIG2,0.390981933,5.56E-07
NIPSNAP3A,0.419135364,0.000862131
TPD52L2,0.486919005,5.30E-19
FAM173A,0.549620555,0.000466374
PREPL,0.24535294,4.51E-07
CD99,0.425450221,5.21E-14
RNF170,0.388971866,0.000167675
EVI5L,0.460080702,7.82E-05
ERCC2,0.31066223,0.000757608
MRPL49,0.545001891,2.93E-19
KIAA1671,-0.221238707,0.010169999
EMC2,0.472308824,8.59E-06
TOM1,0.497275828,1.48E-05
TMEM175,0.581123259,0.000162899
EEF1AKMT3,0.299981664,0.031317512
PARVG,0.397842772,1.66E-09
ECD,0.200347489,0.000952481
MON1B,0.28147452,3.88E-07
BLOC1S3,0.414322671,0.005668285
STK40,0.261315222,0.001930966
LAPTM4A,0.504522656,3.25E-12
GPR108,0.539419464,5.77E-09
EMC3,0.526617752,1.07E-11
CYFIP2,0.196873572,4.20E-05
GUK1,0.751870673,4.14E-18
NBDY,0.501592297,2.98E-10
MAP4,0.129140149,0.009573928
C21orf2,0.614839743,2.04E-05
RNASEK,0.540592602,3.17E-16
CD9,0.479431091,2.26E-20
FBXO4,0.258357893,0.023629049
NDUFA1,0.492906451,0.000284565
F12,0.434730446,0.009674387
TRIQK,0.304145494,0.00045601
TMEM143,0.318665571,0.020391197
GABARAP,0.298833238,0.018652697
TMEM101,0.665433735,1.90E-09
TCP11L2,0.579010159,0.000579302
ZBTB38,-0.019592559,0.90404414
AP000295.1,0.12164849,0.482628237
PSMA3,0.43979959,3.34E-12
STK32C,0.31392817,0.052463173
TTC39A,0.466119628,0.002978874
EMG1,0.340191349,0.00471283
SURF6,0.151557419,0.041466793
MMS19,0.37461318,1.57E-08
FAM114A2,0.442945158,4.20E-06
HIVEP2,0.031343706,0.718236382
TM6SF1,0.175965413,0.308567367
ATF6B,0.419019831,8.67E-08
WDR83OS,0.646420641,6.56E-16
TMEM232,0.07435781,0.627179343
EIF4EBP1,0.518863946,4.86E-07
ANXA2R,0.167583259,0.331319849
NUDT13,0.451037014,0.01308638
IFNG,0.086732129,0.496145584
KCTD5,0.281547838,0.000397362
SAMD13,0.342788629,0.048598569
ZNF394,0.337673391,0.000202585
ABHD11,0.345335851,0.014517035
SLC15A2,0.218197903,0.133250925
FMC1,0.598017328,7.58E-05
NAA35,0.218710399,0.019693256
IQCK,0.250061879,0.114050353
RCN1,0.38968037,5.07E-06
TSPAN13,0.293048882,0.049941772
CHCHD10,0.410253288,0.001021585
ARL4C,0.113811868,0.005247449
TMEM218,0.497462514,2.88E-05
RAB2A,0.340476405,2.88E-08
SLC2A3,0.677873294,1.19E-06
CELF2,0.063665356,0.281015275
BAG1,0.251675149,5.50E-06
SNX17,0.499412575,3.78E-16
TRIB2,0.011505501,0.831008588
RPL36A-HNRNPH2,-0.016611049,0.898651768
FLII,0.201899295,0.00297506
UROD,0.59453081,2.24E-11
PRKCSH,0.249520884,6.37E-09
AC118553.2,0.057531176,0.694988346
FAS,0.302648947,0.026707103
KCNK9,0.078837279,0.637336516
LGALS8,0.253327058,6.95E-05
KLHDC2,0.468300387,1.56E-12
KDM1B,0.301533027,0.000876179
NRP1,-0.038353305,0.822698488
LPP,-0.339181444,0.000137605
POLR3D,0.247929816,1.61E-05
MRPS36,0.393983316,3.71E-06
TMEM189,0.388806156,6.56E-07
PIANP,0.070958659,0.616098902
BTG3,0.397913436,2.52E-08
LTN1,0.097592468,0.184928702
GTF2B,0.480298451,1.49E-11
ANO8,0.386927324,0.000916812
TBC1D17,0.51296172,3.45E-05
PPFIBP1,0.159646781,0.110240235
BRPF3,0.193451909,0.013410335
SH3GLB1,0.347044998,6.10E-09
NAT6,0.371078295,0.039065973
OSBPL2,0.324017217,2.92E-06
RNF13,0.628476722,5.80E-13
ILK,0.549046098,4.25E-11
VAT1,0.285636979,1.08E-05
SCD,0.310477972,1.32E-24
SLC38A7,0.180313822,0.175800279
PGM1,0.306350562,4.17E-07
ARHGEF9,0.265001636,0.000210683
SLC35E1,0.273119598,7.28E-06
CNPPD1,0.418031463,2.84E-06
UBXN6,0.555820896,2.52E-08
MIS12,0.565513115,7.32E-21
NIPAL1,0.15404037,0.360496462
PSMD2,0.204544322,5.25E-07
Z82206.1,-0.083088961,0.578348831
FAM229A,0.341650997,0.047640479
SRA1,0.479688246,2.17E-07
MLLT11,0.067582579,0.157398501
TRAPPC1,0.589585918,1.48E-24
PVRIG,0.495198845,8.27E-05
GALK1,0.615165667,9.96E-08
BSDC1,0.426962442,1.66E-11
ATP6V1C2,0.443938508,0.004776732
NSDHL,0.577088824,6.65E-10
RETSAT,0.620434578,6.48E-07
SCAND1,0.757539905,8.50E-09
MAP3K10,0.330376353,0.016842277
OAF,0.361783636,0.01122504
ZBTB22,0.377566729,0.001050048
LCP2,0.195508426,0.016567317
NDUFS8,0.485477151,6.26E-07
TMEM59,0.612850193,3.68E-22
SMIM8,0.251220731,0.094592176
TMEM167B,0.318176475,2.61E-06
ZNF664,0.102689679,0.073517715
RNF5,0.503910874,1.68E-16
FBXL8,0.695475523,0.000119378
SRBD1,0.213167342,0.004099655
GAA,0.403229742,0.001037385
IL22,0.007274318,0.961943992
MED22,0.258929943,0.018087325
RAB43,0.332871388,0.018443965
VAMP7,0.332666571,2.01E-09
TMEM59L,0.5486771,9.48E-05
ATG101,0.43359351,1.57E-09
ZNF816,0.278752249,0.029630326
PRDX4,0.612292056,3.72E-13
UNC93B1,0.36615847,0.032147897
CHRNB4,0.226232688,0.185550902
HIST1H2BK,0.188524754,0.269088302
TMEM186,0.216778834,0.082290929
PCYT1A,0.18987048,0.001688264
COX7A2L,0.609352984,2.55E-19
POMP,0.333241924,3.42E-06
FHL3,0.223689073,0.094128864
ATP7A,0.105844917,0.260433895
NOL7,0.33684104,2.15E-07
PTRH2,0.448706132,5.63E-07
LMBRD2,0.249776253,0.000348332
KCNN4,0.060628885,0.719813606
C19orf60,0.608170017,4.87E-06
SLC35A2,0.575094139,7.03E-08
NAPG,0.274051597,1.48E-06
TXNL1,0.28923578,4.31E-06
PTPN22,0.180587802,0.03647536
MRPS12,0.494863903,1.01E-05
CDRT4,1.012435534,2.13E-08
COG5,0.18720461,0.007784098
GIPC2,0.164910296,0.108095268
TAF13,0.249198341,0.016187512
MLKL,0.038879907,0.760536597
DMGDH,0.18004479,0.243127652
SETD7,0.158276131,0.014532068
UBN2,-0.002928644,0.977076099
SCFD2,0.22061709,0.004959138
ATP6V0B,0.882025966,6.47E-23
LAMTOR3,0.31216381,2.97E-05
RGS5,0.157477646,0.366871254
PEF1,0.464116943,1.77E-10
KRT77,-0.032363076,0.805640579
SACM1L,0.200343515,9.48E-05
GCSH,0.431454786,2.41E-07
LASP1,0.15129924,0.00254546
CLEC11A,0.245245918,0.157956374
CXorf40A,0.545009859,5.99E-07
PITPNM1,0.416600714,5.12E-05
SIGMAR1,0.398100155,4.46E-07
AL139392.1,0.246361258,0.140165707
TMEM230,0.520951575,3.64E-23
EDF1,0.458930761,8.05E-14
LKAAEAR1,0.123252898,0.416433591
ZNF524,0.208550713,0.23371361
MPC1,0.496391857,2.19E-14
ARMCX5,0.459759613,4.75E-07
LSS,0.554329341,3.22E-09
ZCCHC24,0.320655792,0.023710157
S1PR3,0.485563898,8.05E-07
POFUT2,0.447134367,0.000348558
PLBD2,0.339375893,0.000910906
PSENEN,0.448015739,2.70E-06
PABPC3,-0.035205195,0.830345453
AL121845.3,0.537111325,0.002422379
AP4S1,0.303082977,0.030054631
RIOK2,0.333426044,5.08E-06
DDB1,0.07219135,0.068030025
SLC38A3,0.089145061,0.532160545
BLOC1S6,0.266869668,3.82E-07
HAGH,0.406178079,3.05E-08
ASAH1,0.316068524,1.20E-05
MRPL2,0.312234915,0.000141089
JMJD7-PLA2G4B,0.278397176,0.113524499
JOSD1,0.239770281,1.96E-05
TBC1D22A,0.304801896,0.000918306
IRAK1,0.107490224,0.213979893
CCDC103,0.118631827,0.401246839
PIGBOS1,0.417319712,0.002541602
HINT2,0.449298491,8.16E-06
LRRC4B,0.190716118,0.026102264
YPEL2,0.260022564,0.047057691
IGSF8,0.430270452,0.000280952
FAM174A,0.621388588,1.44E-05
CRIPAK,0.201080567,0.159495408
CAPN10,0.510813084,0.000482035
TMBIM1,0.081326418,0.639406232
THAP2,0.315965266,0.029637077
RFNG,0.541677371,0.000295248
CCDC57,0.172445931,0.194747658
TIPRL,0.3277635,1.99E-07
PTPN23,0.248798975,0.02537295
CAPG,0.334805167,0.059680777
AGTRAP,0.718761441,3.90E-06
DYM,0.319731371,1.38E-09
FAM118B,0.31775847,0.0037167
ZBED6,-0.40233747,0.013344797
WWOX,0.16467618,0.077923604
PTGES3L,0.204957681,0.226939547
TGIF1,0.522887025,0.000125116
MFAP3,0.13090044,0.117229784
MUT,0.286028995,0.000214821
RASAL3,0.256661153,0.030399926
ACAP1,0.193507055,0.020042159
TMEM53,0.094197797,0.576540912
SAR1B,0.61005041,7.65E-16
MAGEF1,0.270844616,0.00010745
TMEM86B,0.253966721,0.148384239
RIDA,0.137100507,0.202307016
CERCAM,0.639507652,0.000113476
P2RX5-TAX1BP3,0.291937779,0.089451846
YPEL3,0.574894363,2.68E-05
ITFG1,0.343623715,2.78E-07
PSMD13,0.390984147,1.02E-12
ANAPC13,0.225537237,0.00236663
ARL5B,0.123040516,0.025815629
ATG4A,0.368051138,5.27E-05
FASTK,0.566848426,5.32E-07
BACH1,0.083464306,0.253499724
EBNA1BP2,0.309055371,2.43E-07
UNC13D,0.068489639,0.496311597
C7orf55-LUC7L2,0.061800338,0.65182669
FCMR,0.214230331,0.091149256
HTRA2,0.516339747,8.04E-12
SLC25A45,0.246898172,0.105292827
MAGED1,0.33276484,1.20E-09
JOSD2,0.517008636,0.000830974
THAP4,0.385178199,3.46E-07
SEC61A2,0.237878898,0.088942009
TMEM52B,0.071614911,0.677958597
LIPC,0.353984867,0.034200227
HDAC6,0.390987618,1.60E-05
PEMT,0.538626214,2.25E-05
SLC25A51,0.286908893,0.007567353
GPR75-ASB3,0.094293196,0.58577926
C6orf120,0.355204271,0.000347432
MSN,0.100659405,0.013949827
GTF2H4,0.341354589,0.000260361
HLA-E,0.468332982,1.01E-11
TXLNA,0.158681497,0.008122341
RSG1,0.393393783,0.026307053
COX7A2,0.555910422,9.61E-10
OXLD1,0.36763522,0.00524404
MAN1B1,0.583163577,6.47E-07
ICA1,0.038008503,0.830093458
PPP1R16A,0.332472138,0.03035962
PRKCQ,0.230509553,0.000133701
AQP3,0.268920532,7.98E-08
RAB4B-EGLN2,0.205930825,0.206675249
SCYL1,0.398021784,2.56E-05
ANKMY2,0.314339045,0.004481182
PPEF1,0.007787941,0.966444056
MRPS34,0.406183323,1.88E-08
XRRA1,0.280920009,0.037510442
FURIN,0.259020102,0.014601183
RNPEPL1,0.342281612,0.003772136
PPP1R14B,0.461996724,1.24E-07
ACOT8,0.528689693,3.87E-06
MBLAC2,0.224334276,0.012470145
NAAA,0.442528767,0.000382266
LSM10,0.518313345,3.36E-07
DOCK4,-0.243230331,0.139023716
FBXO36,0.373401626,0.017631895
GALNT6,0.16441896,0.070241881
MT-CYB,0.485808244,7.83E-06
DDC,0.030227049,0.749318383
CASK,0.003708318,0.970487559
NDUFA11,0.601053657,1.58E-10
CCDC28B,0.379571428,0.000312984
GLG1,0.218996711,4.83E-05
FOCAD,0.191735415,0.010787735
TMEM69,0.269590468,0.000449861
AC004556.1,0.475185681,0.001447449
VMP1,0.556932314,1.20E-16
TP53I3,0.516374136,0.000972533
C14orf1,0.539939222,4.72E-14
ZNF385A,0.05253983,0.729631436
MFSD10,0.509465969,0.000994372
CCR9,-0.098722809,0.56288441
PSMC4,0.337393227,8.37E-13
MAN2B1,0.527754364,2.78E-08
TTC13,0.230480421,0.007787
FAM212B,-0.061291118,0.670043481
UQCRQ,0.467543345,9.39E-07
TBC1D10A,0.369488686,0.000185701
KLHL32,0.241971114,0.148697904
NUP62CL,0.182733886,0.183006228
MED8,0.302608636,4.30E-05
CD38,0.205368721,0.001301516
TPGS1,0.620560459,0.000109405
UBXN8,0.213472055,0.070060078
AGAP9,0.245449885,0.140384136
NDUFB7,0.623587736,2.28E-10
SEC23A,0.225857749,4.32E-06
PDCD1,0.000330029,0.998065751
ZNF234,-0.003989723,0.976154859
RPL10,0.458669385,5.75E-29
KLHDC7B,0.439977463,0.011537688
ESRRB,0.138521637,0.101425949
EFHC1,0.182475277,0.290203421
AC009119.2,-0.017667405,0.901816448
YIPF6,0.349935872,3.10E-06
MED10,0.397880864,1.68E-06
STX1A,0.071178897,0.681725007
WDR81,0.242798709,0.027076677
ZNF791,0.184930608,0.041756148
B3GALT6,0.243620856,0.009936924
MBD1,0.196535417,0.00096215
POC1B-GALNT4,0.171085031,0.31707935
C1orf43,0.429850987,8.94E-14
SLC10A3,0.328466215,0.010589051
SLC43A1,0.308567381,0.026638095
PCSK6,0.105012313,0.124971613
PHKB,0.213010405,1.18E-05
CARNS1,-0.054338439,0.738410625
RAPGEF2,0.200646935,0.035279008
TBKBP1,0.183141272,0.285379015
TM7SF2,0.775829958,1.58E-11
TIMM17A,0.34243365,7.17E-07
TADA2B,0.331756766,2.96E-06
ACP2,0.391730472,0.001737986
ZNF593,0.449144602,1.16E-05
FAM153C,-0.016848122,0.880244031
AC022826.2,-0.028796784,0.844602746
SUSD6,0.202058553,0.032824871
GNAI2,0.397174183,5.06E-16
HMGN4,0.380078795,1.69E-08
TRIB3,0.526005723,2.21E-08
PIAS3,0.334783356,0.004480537
RPS6KB2,0.464601909,1.13E-10
PIFO,0.455058088,0.010446652
PLA2G6,0.26269086,0.046343926
BCAT1,-0.165403072,0.004563021
CD59,0.414724424,4.44E-12
UBA1,0.05141916,0.299618235
DGCR6L,0.419447346,0.000391761
C16orf89,0.048808002,0.48370733
TTLL13P,0.15090875,0.203472221
MAF1,0.46768607,1.35E-10
TAPBPL,0.483469657,0.00297133
TMEM43,0.414358335,1.33E-11
AGAP5,0.045990875,0.793777863
CCDC90B,0.386266493,6.96E-06
SH2D3A,0.517495922,0.002405442
AAK1,-0.021341837,0.783824302
PGLS,0.467701775,6.74E-05
C1orf54,0.357683417,0.041175918
PEX10,0.233171042,0.046052884
ARSG,0.551566701,3.12E-08
ZNF717,0.148786986,0.057075047
DHRS7B,0.414131887,0.002945389
AMPD2,0.22455668,0.042993818
VPS11,0.210474473,0.016619635
CARS,0.261690329,0.003279577
JDP2,0.127945151,0.43561614
MIF,0.650894935,3.30E-08
RALB,0.310801561,0.002825989
ZNF550,0.293421933,0.005544205
ATP6V1C1,0.152520073,0.006833252
PIK3CG,0.067928904,0.406886407
CHID1,0.288623495,0.000290403
CISD1,0.231419212,0.003051997
SWT1,0.431324035,0.004249539
TINCR,0.212847386,0.219399287
MON2,0.072063545,0.401109819
CKB,0.229021177,0.141905379
UBE2B,0.401977905,8.07E-08
ENTPD4,0.191224099,0.012771104
FAM109B,0.379688245,0.032234873
LCP1,0.013826452,0.692884715
ITGAL,0.011953548,0.882921771
C11orf71,0.521219457,0.000967717
CTSB,0.460304518,6.25E-15
AC245033.1,0.007131841,0.953059357
PDZD11,0.487994172,2.36E-08
SLC22A15,0.261150128,0.11933765
MARCH3,0.188064634,0.239309975
EXOSC5,0.439133391,1.47E-05
TRIM69,0.401594275,5.15E-07
PAFAH2,0.375102863,0.001282283
KLF3,0.080133274,0.447720674
C2orf81,0.233848795,0.168033995
PPP3CA,0.227667884,0.000696422
ZNF208,0.037204077,0.757413902
FXYD2,0.3239738,7.99E-07
MESDC1,0.329083869,0.004154125
P3H3,0.760481337,1.25E-08
CCNG1,0.333719457,1.11E-10
CCDC22,0.324530598,0.008341549
ESR2,0.152478154,0.335053512
ARHGAP29,0.008037597,0.960436679
CLDN4,0.241506284,0.052506218
CHKB,0.119174499,0.455183377
OSTM1,0.499315993,1.83E-07
MAP1LC3B,0.418646176,1.47E-17
MYL12A,0.254152641,6.16E-05
LRRC41,0.289387349,0.000210124
AC139530.2,0.011944188,0.942762684
NDUFA7,0.594306764,2.85E-12
HMBS,0.470413577,4.43E-07
CD248,0.27870242,0.032214881
IDH3A,0.166265788,0.00084207
AL022238.4,-0.009768254,0.940292685
BBIP1,0.552682018,3.82E-06
STK16,0.489524786,3.03E-05
CAST,0.373039815,2.48E-05
TMEM134,0.612736311,1.07E-05
TRIM7,0.081482375,0.608887996
EPRS,0.027190399,0.559246383
WDR4,0.14029879,0.125664891
BUD31,0.444835064,5.67E-09
NICN1,0.349231504,0.005309542
TMEM269,0.141734719,0.329460799
ZNF487,0.182891103,0.247393128
CREBL2,0.216205399,0.007619496
MARS,0.245230567,1.24E-07
TAF10,0.483506732,5.62E-11
ATP5I,0.285355285,0.058014669
SLC35C2,0.498279165,5.12E-06
LMLN,0.144239526,0.187600381
RASSF1,0.239985136,0.033954296
DCTN2,0.354300012,1.77E-12
CD300C,0.275896627,0.116346759
MZT2A,0.464611163,1.48E-06
SLC26A2,0.213840728,0.009452358
ALAS1,0.186245716,0.001956303
SPNS1,0.576243971,1.78E-06
EXTL2,0.230266115,0.011615424
MCTS1,0.340839939,1.64E-05
RFC1,0.010280494,0.849855245
ANO10,0.493151212,0.000151853
STARD3NL,0.378261184,9.34E-07
KIF6,0.113795383,0.516145936
SLC27A5,0.30911127,0.029951418
STARD10,0.428390708,0.000627706
CHP1,0.33201023,4.91E-10
AC110275.1,-0.075174915,0.6601174
NFX1,-0.001141397,0.985886677
GCLC,0.218128496,0.012137145
CCDC107,0.491839183,0.000835324
RGS9,0.01206433,0.92825544
SPATC1L,0.51628716,0.000710449
ASTN2,0.575564226,0.000726008
PCSK7,0.228946669,0.008526367
DNPEP,0.418665207,0.000177973
RNF121,0.36653281,0.000197329
DCAF4L1,-0.098232051,0.473097094
PDE4D,-0.003288705,0.980594926
EIF3G,0.353110163,3.54E-12
COASY,0.308196424,1.63E-05
AKNA,0.155525795,0.090626762
AFTPH,0.209017734,0.003133123
CCDC126,0.229063128,0.061416455
PSMB10,0.273392382,0.047409004
BTBD8,-0.049922364,0.772629727
SPTSSA,0.340115222,0.000798467
TBC1D23,0.384515898,3.91E-08
C3orf18,0.166668338,0.335544887
ZNF563,0.122298611,0.466679532
DRP2,0.005742494,0.97183056
ACAD9,0.18585995,0.024965271
TSSC1,0.410382329,6.58E-08
CD1B,0.25572942,3.80E-11
SMIM3,0.305684413,0.003725177
FYCO1,-0.015583474,0.846846201
TRIM11,0.281117545,0.002825372
SLC16A2,0.379430025,0.001731685
VPS18,0.144377799,0.103327703
CCR7,-0.167006649,0.254689574
LHPP,0.299549657,0.014910418
C1orf122,0.722132887,3.92E-07
C2CD4C,-0.027733739,0.825183173
IARS,0.175840805,0.000112833
GFI1,0.350268612,1.11E-08
TOMM70,0.144073518,0.000796403
SLC22A18,0.323994163,0.058388083
BTD,0.182658877,0.214852699
FAM199X,0.021890213,0.727776868
LARS,0.03337132,0.456941094
CUEDC1,0.091524187,0.503449821
PSMA5,0.453889096,1.76E-12
CLYBL,0.115036415,0.51198607
TRIM39-RPP21,0.009589893,0.950792605
RBM45,0.190830222,0.097168716
TFB1M,0.36020357,0.006921502
CDKN1B,0.335759617,1.94E-07
IL15RA,0.147390571,0.065321977
AEN,0.255261725,0.001409642
ETV5,-0.049342591,0.349612479
CDV3,0.013385687,0.764157873
MAPK3,0.238075052,0.008768624
SLC2A6,0.463756572,0.004985647
C2CD2,0.009678689,0.959268424
CDK5RAP3,0.271489765,1.65E-05
FAM219A,0.251285146,0.020993593
CCDC136,0.032085352,0.748767623
CAMTA1,0.373589764,0.000131408
